id, TITLE, UNIF TITLE, AUTHOR, ISBN/ISSN, LOCATIONS, SHELF INFO, IMPRINT, EDITION, SUBJECT, NOTE, SERIES, DESCRIPT, ALT TITLE, ALT AUTHOR
"107","The devil wears Prada [DVD] / Fox 2000 Pictures presents a Wendy; Finerman production ; produced by Wendy Finerman ; screenplay; by Aline Brosh McKenna ; directed by David Frankel.","","","024543374404 00.","Public Library","","Beverly Hills, Calif. : 20th Century Fox Home Entertainment,; c2006.","Widescreen ed.","New York (N.Y.) -- Drama.; Feature films. gsafd.; Comedy films. gsafd.; Fiction films. lcgft.; Feature films. lcgft.; Comedy films. lcgft.; Film adaptations. lcgft.; Video recordings for the hearing impaired. lcgft.; Comedy -- Feature. migfg.; Women -- Feature. migfg.; Comedy.; DVD video discs.","DVD, region 1, anamorphic widescreen (2.35:1) presentation; Dolby; Digital 5.1 surround, Dolby surround, dual layer, NTSC.; English (Dolby 5.1), dubbed French (Dolby surround) or dubbed; Spanish (Dolby surround) dialogue, English or Spanish; subtitles; closed-captioned.; Meryl Streep, Anne Hathaway, Stanley Tucci, Simon Baker, Emily; Blunt, Adrian Grenier.; Director of photography, Florian Ballhaus ; editor, Mark; Livolsi ; music, Theodore Shapiro ; costume designer, Patricia; Field ; production designer, Jess Gonchor.; Based on the novel by Lauren Weisberger.; Originally released as a motion picture in 2006.; This DVD is copy protected.; MPAA rating: PG-13; for some sensuality.; Miranda, editor of ""Runway"" magazine, is a terror to everyone; around her. Her first assistant strives to please her, but; can't quite pull it off. Enter Andy, a young woman who knows; nothing of the fashion industry and has never read the; magazine. Nonetheless, Miranda, hires her as second assistant.; When Miranda demands that she obtain the next unpublished Harry; Potter manuscript, it forces Andy to dig it up in order to; please her boss. With the help of one of the magazine's fashion; editors, she gets a complete makeover and new security, and as; she is whisked away to Paris with Miranda, Andy faces all of; the glamor that could be hers and is forced to make the; decision of where she wants to be in her life.; Special features: Audio commentary with director David Frankel,; producer Wendy Finerman, costume designer, Patricia Field,; screenwriter Aline Brosh McKenna, editor Mark Livolsi and; director of photography, Florian Balhaus; deleted scenes with; director and editor commentary; ""A trip to the big screen""; featurette; ""NYC and fashion"" featurette; ""Fashion visionary; Patricia Field"" featurette; ""Getting Valentino"" featurette;; ""Boss from Hell"" featurette; gag reel.","","1 videodisc (109 min.) : sd., col. ; 4 3/4 in.","","Finerman, Wendy.; McKenna, Aline Brosh.; Frankel, David, 1960-; Streep, Meryl.; Hathaway, Anne, 1982-; Tucci, Stanley.; Baker, Simon, 1969-; Blunt, Emily.; Grenier, Adrian, 1976-; Shapiro, Theodore, 1971-; Weisberger, Lauren, 1977- Devil wears Prada.; Fox 2000 Pictures.; Twentieth Century Fox Home Entertainment, Inc."
"108","Aida [DVD] / Verdi ; The Metropolitan Opera presents.","","","044007434284.","Public Library","PubLib DVD NONFIC (1st  782.1 V484","London, England : Decca, c2011.","","Operas.; Televised operas. lcgft.; Televised operas.; DVDs.; DVD-Video discs.; Italian language materials.; DVD video discs.","DVD-9; soundtracks in DTS 5.1, PCM stereo; aspect ratio 16:9;; filmed in HD.; Opera in 4 acts; libretto by Antonio Ghislanzoni.; Sung in Italian with subtitles in English, French, German,; Spanish and Chinese. Menus in English.; Roberto Scandiuzzi (Ramfis) ; Johan Botha (Radames) ; Dolora; Zajick (Amneris) ; Violeta Urmana (Aida) ; Stefan Kocán (The; King) ; Adam Laurence Herskowitz (A messenger) ; Jennifer Check; (A pristess) ; Carlo Guelfi (Amonasro) ; Christine Freeman,; Bradley Shelver, solo dancers ; Metropolitan Opera Orchestra ;; Metropolitan Opera Chorus ; Metropolitan Opera Ballet ; Daniele; Gatti, conductor.; Stage production, Sonja Frisell; set designer, Gianni Quaranta;; costume designer, Dada Saligeri; lighting designer, Gil; Wechsler; choreographer, Alexei Ratmansky; stage director,; Stephen Pickover; video director Gary Halvorson.; Recorded during a live transmission from the Metropolitan Opera,; Oct. 24, 2009.; Bonus feature (13 min.) : Backstage at the Met with Johan Botha,; Dolora, Zajick, Violeta Urmana, Alexei Ratmansky and Met; supernumeraries. Host : Renée Fleming.; Program notes and synopsis in English in container.; An Egyptian soldier falls in love with a princess-turned-slave; girl.","The Metropolitan Opera HD live.; Metropolitan Opera HD live.","2 videodiscs (163 min.) : sd., col. ; 4 3/4 + 1 guide (10 p. . :; ill. ; 18 cm.)","","Ghislanzoni, Antonio, 1824-1893.  Librettist.; Scandiuzzi, Roberto, 1958-  Performer.; Botha, Johan.  Performer.; Zajick, Dolora.  Performer.; Urmana, Violeta.  Performer.; Guelfi, Carlo.  Performer.; Gatti, Daniele.  Conductor.; Frisell, Sonja.; Quaranta, Gianni.; Saligeri, Dada.; Wechsler, Gil.; Ratmanskii, Aleksei, 1968-  Choreographer.; Pickover, Stephen.; Halvorson, Gary.; Verdi, Giuseppe, 1813-1901. Aïda.; Metropolitan Opera (New York, N.Y.)  Performer.; Decca Music Group."
"109","A chorus line [DVD] / Columbia Pictures presents ; Embassy Films; Associates and PolyGram Pictures ; a Feuer and Martin; production ; Richard Attenborough's film ; screenplay by Arnold; Schulman ; produced by Cy Feuer and Ernest H. Martin ; directed; by Richard Attenborough.","Chorus line (Motion picture)","","0792855213.","Public Library","PubLib DVD (1st floor)  FEATURE FILM - C","Santa Monica, CA : MGM Home Entertainment, c2003.","Widescreen format (2:35:1).","Dancers -- Drama.; Feature films.; Musical films.; Video recordings for the hearing impaired.; DVD video discs.","DVD, region 1; Dolby digital stereo surround.; In English; with optional English, French, or Spanish subtitles.; Closed-captioned.; Rated PG-13.; Michael Douglas, Alyson Reed, Terrence Mann, Vicki Frederick,; Nicole Fosse.; Music by Marvin Hamlisch ; lyrics by Edward Kleban ; music; arranged and conducted by Ralph Burns ; film editor, John Bloom; ; director of photography, Ronnie Taylor ; choreographed by; Jeffrey Hornaday.; Originally released as a motion picture in 1985.; Based on the play: Chorus line / by Michael Bennett.; ""Enhanced for widescreen tvs""--Container.; ""4004350""--Container.; Special features: ""Marvin Hamlisch: Broadway to Hollywood""; interview with songwriter Hamlisch (20 min.) ; original; theatrical trailer (2 min.).; In preparation for a Broadway musical, a group of aspiring stage; performers is put through their paces by a veteran stage; director using some singular techniques.","","1 videodisc (ca. 118 min.) : sd., col. ; 4 3/4 in.","","Schulman, Arnold.; Feuer, Cy.; Martin, Ernest H., 1919-1995.; Attenborough, Richard.; Douglas, Michael, 1944-; Reed, Alyson.; Mann, Terrence.; Frederick, Vicki.; Fosse, Nicole.; Hamlisch, Marvin.; Kleban, Edward.; Hornaday, Jeffrey.; Bennett, Michael, 1943 April 8-1987.; Columbia Pictures.; Polygram Pictures.; Embassy Films Associates.; MGM Home Entertainment Inc."
"110","Calendar girls [DVD] / Touchstone Pictures presents a Harbour; Pictures production ; produced by Nick Barton & Suzanne; Mackie ; written by Tim Firth and Juliette Towhidi ; directed; by Nigel Cole.","","","078884900X.","Public Library","PubLib DVD (1st floor)  FEATURE FILM - C","[United States] : Touchstone Home Entertainment ; Burbank, CA :; Distributed by Buena Vista Home Entertainment, [2004], c2003.","Widescreen version.","Calendars -- Drama.; Female friendship -- Drama.; Women -- Press coverage -- Drama.; Feature films.; Comedy films.; Video recordings for the hearing impaired.; DVD video discs lcsh.","DVD, Region 1, Dolby 5.1.; Includes English and French language tracks, with optional; Spanish subtitles. Closed captioned in English.; Helen Mirren, Julie Walters, John Alderton, Linda Bassett,; Annette Crosbie, Ciarán Hinds, Celia Imrie.; Director of photography, Ashley Rowe ; editor, Michael Parker ;; music, Patrick Doyle ; costume designer, Frances Tempest ;; production designer, Martin Childs ; visual effects supervisor,; Richard Stammers ; special effects supervisor, Stuart Brisdon.; Originally released as a motion picture in 2003.; MPAA rating: PG-13; for nudity, some language and drug-related; material.; When Chris' best friend Annie loses her husband, Chris derives a; scheme to memorialize him. The two women, along with some of; their friends - all fiftysomething women - will make a nude; calendar to raise money for the hospital where he died. The; calendar becomes hugely popular. Based on actual events.; Special features: ""The naked truth"" documentary, ""Creating the; calendar"" documentary, deleted scenes.","Staff Movie Pick.","1 videodisc (ca. 108 min.) : sd., col. ; 4 3/4 in.","","Barton, Nick.; Mackie, Suzanne.; Firth, Tim.; Towhidi, Juliette.; Cole, Nigel.; Mirren, Helen.; Walters, Julie, 1950-; Alderton, John, 1940-; Bassett, Linda.; Crosbie, Annette, 1934-; Hinds, Ciaran.; Imrie, Celia, 1952-; Rowe, Ashley.; Parker, Michael.; Doyle, Patrick, 1953-; Tempest, Frances.; Childs, Martin.; Stammers, Richard.; Brisdon, Stuart.; Harbour Pictures (Firm); Touchstone Pictures.; Touchstone Home Entertainment (Firm); Buena Vista Home Entertainment (Firm)"
"111","Damsels in distress [DVD] / Sony Pictures Classics ; Westerly; Films presents a Steeplechase-Analytic production ; produced by; Martin Shafer & Liz Glotzer ; written, produced and directed by; Whit Stillman.","","","043396401990.","Public Library","PubLib DVD (1st floor)  FEATURE FILM - D","Culver City, Calif. : Sony Pictures Home Entertainment, c2012.","","College life films. lcgft.; Feature films. lcgft.; Comedy films. lcgft.; Video recordings for the hearing impaired. lcgft.; DVD video discs.; Comedy.","DVD, NTSC, region 1, anamorphic widescreen (1.85:1), 5.1 Dolby; Digital.; English, French, Spanish, and Thai audio tracks; English,; Chinese, French, Korean, Spanish, and Thai subtitles; English; subtitles for the deaf and hard of hearing.; Closed-captioned.; Greta Gerwig, Analeigh Tipton, Megalyn Echikunwoke, Carrie; MacLemore, Adam Brody, Hugo Becker, Ryan Metcalf, Billy; Magnussen.; Cinematography, Douglas Emmett ; editor, Andrew Hafitz ; music,; Mark Suozzo and Adam Schlesinger.; Originally released as a motion picture in 2011.; Release date: Sep. 25, 2012.; Rating: PG-13; for mature thematic content including some sexual; material.; A trio of girls set out to change the male-dominated environment; of the Seven Oaks college campus, and to rescue their fellow; students from depression, grunge and low standards of every; kind.; Special features: commentary with director Whit Stillman and; cast; an evening with Damsels in distress; behind-the-scenes; featurette; deleted scenes; outtakes; theatrical trailer.","","1 videodisc (99 min.) : sd., col. ; 4 3/4 in.","","Stillman, Whit, 1952-; Shafer, Martin.; Glotzer, Liz.; Gerwig, Greta.; Tipton, Analeigh.; Echikunwoke, Megalyn.; MacLemore, Carrie.; Brody, Adam, 1980-; Becker, Hugo.; Metcalf, Ryan.; Magnussen, Billy, 1985-; Sony Pictures Classics (Firm); Westerly Films.; Steeplechase-Analytic (Firm); Sony Pictures Home Entertainment (Firm)"
"112","Tiny homes : simple shelter : scaling back in the 21st century /; Lloyd Kahn.","","Kahn, Lloyd.","9780936070520.","Public Library","PubLib <span style=""fon 728.3 K127","Bolinas, Calif. : Shelter Publications : Distributed in the; United States by Publishers Group West, c2012.","","Small houses -- United States.","Includes bibliographical references.; Tiny homes on foundations : For the love of snow ; The sugar; shack ; Little house in the backyard ; The field lab ;; LaMar's $2,000 solar cabin ; The shed of reality ; Backyard; chicken coop yacht ; House for one person ; 14' x 14' post and; beam ; Rich in the woods ; $1,000 cabin on the coast ; Art's; bedroom ; Small structures ; The Phoenix Commotion ; Ons tweed; huis ; Kim & Jonny's cabin ; Tiny Texas houses ; Rethinking; normal ; Friends in high places -- Tiny homes on wheels :; Jalopy cabins ; Tumbleweed tiny houses ; Little house on the; trailer ; Oregon Cottage Company ; Jenine's two tiny houses ;; ProtoHaus ; Building a tiny house on wheels ; Pallet house; project -- Tiny homes by architects : Judith mountain cabin ;; Prefab cottage ; Jeffery Broadhurst ; Tokyo capsule hotel ;; TYIN Tegnestue Architects ; weeHouses -- Prefabs and kits :; Reclaimed space ; Small house innovation ; Bungalow in a box ;; Cabana Village ; YardPods ; Montana Mobile Cabins ; Tom's cabin; ; More prefabs & kits ; Online building -- Earthy materials :; Hani's man cave ; Bill and Athena Steen ; Hobbit house in Wales; ; Ziggy's cob cottage ; The laughing house ; The mudgirls of BC; ; Pallet/cob backyard shed ; Straw bale/cob house in Oregon ;; Cobworks ; Cob/wood roundhouse in Wales ; Dogon dome ; Big sky; yurt ; Sauna on Haida Gwaii ; Baja surfer's shack ; Ardheia ;; Solar potting shed ; Driftwood beach shack ; Bouncing bridge; with troll booth -- Treehouses : Crystal River treehouse ;; Treebane ; Lapas nest treehouse ; Lakeside treehouse ; Deek; Diedrickson ; Taylor camp -- On the road : Lloyd's van ; Hornby; Island caravans ; The flying tortoise ; Vardo/sheep wagon ;; Simplify, simplify ; Nicolette's $1,000 wagen ; ProtoStoga ;; Jay Nelson ; Baja road travel ; Big red ; Artist in a van ;; Lady on the road ; Bernie Harberts' covered wagon ; The; horsebox house ; American nomad rigs ; Vintage campers -- On; the water : Paul, Julie, and Mia on the high seas ; Sailing; yacht ""Misty"" ; Floating homestead in BC ; Ontario boathouse ;; Our little cabin up the lake ; Narrowboats.; ""Here are some 150 builders who have created tiny homes (under; 500 sq. ft.). Homes on land, homes on wheels, homes on the; road, and homes on water, and homes in the trees. There are; also studios, saunas, garden sheds, and greenhouses. Here is a; rich variety of small homemade shelters, with 1,300 photos,; along with stories of people who have chosen to provide their; own roofs overhead.""--P. [2] of cover.","","vii, 214 p. : ill. (chiefly col.) ; 31 cm.","Simple shelter.",""
"113","Can it, bottle it, smoke it : and other kitchen projects / Karen; Solomon ; photography by Angie Cao.","","Solomon, Karen.","9781580085755 (hardback)","Public Library","PubLib NONFICTION (2nd  641.4 S689","Berkeley [Calif.] : Ten Speed Press, c2011.","1st ed.","Canning and preserving.; Smoked food.; Food -- Preservation.","Includes index.; ""The eagerly anticipated follow-up to Jam It, Pickle It, Cure It; offers more ideas for adventurous culinary DIYers to stock the; larder with artisan food and drink, kitchen staples, tasty; snacks, and gift-worthy eats. Want to make your own Plum Catsup; (can it!), Strawberry Black Pepper Soda (bottle it!), and; Chipotles in adobo (smoke it!)? Join food writer Karen Solomon; in the culinary revolution that has changed the way people; think about the boxed and jarred food on the grocery shelf, by; trying these recipes and techniques for making homemade jams,; relishes, pickles, bagels, popsicles, muesli, chips, pastrami,; smoked nuts, sauces, syrups, and much more. Perfect for people; who want to eat organic, local, and sustainable without giving; up favorites like pretzels and sodas, this book will have; weekend warriors whipping up mouthwatering foodstuffs for their; pantries --and their friends--in no time""-- Provided by; publisher.; ""This innovative cookbook offers ideas for adventurous culinary; DIYers to stock the pantry with artisan food and drink, kitchen; staples, tasty snacks, and gift-worthy eats""--Provided by; publisher.","","x, 150 p. : col. ill. ; 21 x 24 cm.","",""
"114","Canning for a new generation : bold, fresh flavors for the modern; pantry / Liana Krissoff ; photographs by Rinne Allen.","","Krissoff, Liana.","9781584798644 (pbk.)","Public Library","PubLib NONFICTION (2nd  641.4 K9287","New York : Stewart, Tabori & Chang, 2010.","","Canning and preserving.; Fruit -- Preservation.; Vegetables -- Preservation.","""200 seasonal recipes and 30 detachable gift labels""--Back cover.; Includes bibliographical references (p. 291-292) and index.; Spring: Fruits -- Vegetables -- Summer: Fruits -- Vegetables --; Fall: Fruits -- Vegetables -- Winter: Fruits -- Vegetables --; Baked and creamy things to put preserves on.; This hip, modern handbook is filled with fresh and new ways to; preserve nature's bounty throughout the year. It features full-; color photographs, recipes, and detachable canning labels.","","303 p., [3] p. : col. ill. ; 23 cm. + 3 pages of gift labels.","","Allen, Rinne, 1973-"
"115","Lost in the cosmos : the last self-help book / Walker Percy.","","Percy, Walker, 1916-","0374191654 : $16.50 (lim. ed.)","Public Library","PubLib NONFICTION (2nd  818 PER","New York : Farrar, Straus & Giroux, c1983.","","American wit and humor.; Self-actualization (Psychology) -- Humor.","""This edition, signed by the author, is limited to three hundred; and fifty numbered copies""--Prelim. p. [1]","","[10], 262 p. ; 22 cm.","",""
"116","February house / Sherill Tippins.","","Tippins, Sherill.","061841911X.","Public Library","PubLib NONFICTION (2nd  810.9 T595","Boston : Houghton Mifflin, 2005.","","Authors, American -- Homes and haunts -- New York (State) -- New; York.; McCullers, Carson, 1917-1967 -- Homes and haunts -- New York; (State) -- New York.; Auden, W. H. (Wystan Hugh), 1907-1973 -- Homes and haunts -- New; York (State) -- New York.; Britten, Benjamin, 1913-1976 -- Homes and haunts -- New York; (State) -- New York.; Bowles, Jane Auer, 1917-1973 -- Homes and haunts -- New Y9rk; (State) -- New York.; Lee, Gypsy Rose, 1914-1970 -- Homes and haunts -- New York; (State) -- New York.; Bowles, Paul, 1910- -- Homes and haunts -- New York (State) --; New York.; American literature -- New York (State) -- New York -- History; and criticism.; Literary landmarks -- New York (State) -- New York.; Communal living -- New York (State) -- New York.; Authors, American -- 20th century -- Biography.; Brooklyn (New York, N.Y.) -- Intellectual life.; Brooklyn (New York, N.Y.) -- Biography.","Includes bibliographical references (p. [291]-297) and index.; The house on the hill : June-November 1940 -- The bawdy house :; December 1940-February 1941 -- The house of genius : March-; December 1941.","","xiv, 317 p. : ill. ; 24 cm.","",""
"117","Complete book of home preserving : 400 delicious and creative; recipes for today / edited by Judi Kingry and Lauren Devine.","","","077880139X (U.S.)","Public Library","PubLib NONFICTION (2nd  641.4 C737","Toronto : R. Rose, 2006.","","Canning and preserving.; Cooking (Fruit); Cooking (Vegetables)","Includes index.; Features four hundred recipes for salsas, savory sauces,; chutneys, pickles, relishes, jams, jellies, and fruit spreads,; including instructions for beginners and tips for experienced; cooks.; Preserving the good things of life because you can! -- Home; canning equipment -- Getting started -- Soft spreads --; Fabulous fruits -- Salsa, relish and chutney -- Condiments --; Perfect pickles -- Tomatoes -- Pressure canning: low-acid foods; -- The art and science of home food preservation -- Altitude --; Home canning problem solver -- Produce purchase guide.","","448 p., [32] p. of plates : ill. (some col.) ; 26 cm.","Ball complete book of home preserving.; Home preserving.","Kingry, Judi.; Devine, Lauren."
"118","The pickled pantry / Andrea Chesman ; illustrations by Lisa; Congdon.","","Chesman, Andrea.","9781603425629 (pbk. : alk. paper)","Public Library","PubLib NONFICTION (2nd  641.46 C5244","North Adams, Mass. : Storey Pub., c2012.","","Pickles.; Cookbooks. lcgft.","Includes index.; All about pickling -- Fermented pickles -- Single jar pickle; recipes -- Big-harvest fresh-pack pickles -- Salsas, relishes,; and chutneys -- Refrigerator & freezer pickles -- Recipes for; enjoying homemade pickles.","","303 p. : col. ill. ; 23 cm.","","Congdon, Lisa."
"119","Despicable me 2 [DVD] / Illumination Entertainment ; Universal; Pictures presents a Chris Meledandri production ; directed by; Chris Renaud, Pierre Coffin ; produced by Chris Meledandri,; Janet Healy ; written by Cinco Paul & Ken Daurio.","Despicable me 2 (Motion picture)","","025192171253.","Public Library YOUTH","PubLib YOUTH DVD (1st f DVD DES","Universal City, CA : Universal Home Video, c2013.","","Feature films. lcgft.; Fiction films. lcgft.; Animated films. lcgft.; Comedy films. lcgft.; Children's films. lcgft.; Video recordings for the hearing impaired. lcgft.; Video recordings for people with visual disabilities. lcgft.; Animated films. gsafd.; Comedy films. gsafd.; DVD video discs.; Children's films.; Animated.; Family Films.","DVD, region 1; NTSC; Dolby Digital 5.1 surround, 2.0 Dolby; Digital; anamorphic widescreen (1.85:1).; English, French or Spanish dialogue, with optional French or; Spanish subtitles; English subtitles for the deaf and hard of; hearing; English described audio for the visually impaired.; Originally produced as a motion picture in 2013.; Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove,; Russell Brand, Steve Coogan, Ken Jeong.; Editor, Gregory Perler; original songs and themes, Pharrell; Williams.; MPAA rating: PG; for rude humor and mild action.; Recruited by the Anti-Villain League, Gru helps deal with a; powerful new super criminal.; Bonus features: Gru's girls ; Gadgets galore ; feature commentary; with directors Chris Renaud and Pierre Coffin. ; previews of; other films.","","1 videodisc (1 hr., 38 min.) : sd., col. ; 4 3/4 in.","Despicable me two.","Renaud, Chris.; Coffin, Pierre.; Meledandri, Chris.; Healy, Janet.; Paul, Cinco.; Daurio, Ken.; Carell, Steve, 1963-; Brand, Russell, 1975-; Wiig, Kristen, 1973-; Bratt, Benjamin, 1963-; Cosgrove, Miranda, 1993-; Coogan, Steve.; Jeong, Ken, 1969-; Williams, Pharrell.; Universal Studios Home Video (Firm); Illumination Entertainment.; Universal Pictures (Firm)"
"120","Babycakes / Armistead Maupin.","","Maupin, Armistead.","0060924837 : $12.00 ($16.00 Can.)","Public Library","PubLib FICTION (1st flo FIC MAUPIN, A.","New York : HarperPerennial, 1994.","1st HarperPerennial ed.","City and town life -- Fiction.; San Francisco (Calif.) -- Fiction.; Humorous stories. gsafd.","""Published in somewhat different form in the San Francisco; chronicle""--T.p. verso.","Tales of the city series ; v. 4.; Maupin, Armistead. Tales of the city series ; v. 4.","316 p. ; 21 cm.","",""
"121","Enjoying food on a diabetic diet [by] Edith M. Meyer.","","Meyer, Edith M.","","Public Library","PubLib NONFICTION (2nd  641.56314 M612","Garden City, N.Y., Doubleday, 1971.","[1st ed.]","Diabetes -- Diet therapy -- Recipes.","","","xii, 227 p. 22 cm.","",""
"122","After the deluge [DVD] / Coxknight Productions ; produced by; Richard Keddie, Andrew Knight, Andrew Wiseman ; written by; Andrew Knight ; directed by Brendan Maher.","","","0779256808.","Public Library","PubLib DVD (1st floor)  FEATURE FILM","Richmond Hill, Ont. : BFS Video, [2004]","","Brothers -- Drama.; Family -- Drama.; Alzheimer's disease -- Drama.; Feature films.; Family -- Feature. migfg.; DVD video discs lcsh.","DVD, region 1; Dolby Digital.; Title from container.; David Wenham, Hugo Weaving, Samuel Johnson, Aden Young, Catherine; McClements, Rachel Griffiths, Essie Davis, Kate Beahan, Vince; Colosimo.; Director of photography, Geoff Burton ; editor, Uri Mizrahi ;; music, Cezary Skubiszewski ; costume designer, Sandi Cichello ;; production designer, Josephine Ford.; Originally released as a motion picture in 2003.; MPAA rating: Not rated.; Follows the lives of the four men from the Kirby family. As; Alex's marriage breaks apart, Toby tries desperatly to start a; family, and Marty tries to kick-star his faded music career as; well as find a meaningful relationship with someone his own; age. All three of these men must come to terms with their; father's mental state. Cliff, who suffers from Alzheimer's; disease, is reliving his disturbing memories of the war and his; first love. Through these four stories, we uncover a families; troubled past, and their struggle towards a reconciled future.; Special feature: cast profiles.","","1 videodisc (ca. 103 min.) : sd., col. ; 4 3/4 in.","","Maher, Brendan.; Wenham, David, 1965-; Weaving, Hugo, 1960-; Johnson, Samuel.; Young, Aden.; McClements, Catherine, 1965-; Burton, Geoff.; Skubiszewski, Cezary.; BFS Video (Firm)"
"123","L'Auberge espagnole [DVD] / Ce qui Me meut présente une co-; production franco-espagnole BAC Film, Studio Canal, France 2; Cinema, Mate Production, Castelao Productions avec la; participation de Canal+, France 2, Via Digital, un film de; Cédric Klapisch ; produit par Bruno Levy ; director, Cédric; Klapisch.","","","024543095965.","Public Library","PubLib DVD (1st floor)  FOREIGN FILM - A","[United States] : 20th Century Fox Home Entertainment, [2003],; c2002.","Widescreen version.","Students, Foreign -- Drama.; Man-woman relationships -- Drama.; College students -- Conduct of life -- Drama.; Feature films.; Comedy films.; DVD video discs lcsh.","DVD, Region 1 encoding, Dolby digital, DTS.; French, Spanish and English dialogue, English subtitles.; Romain Duris, Judith Godrèche, Audrey Tautou, Cécile De France,; Kelly Reilly, Cristina Brondo, Federico D'Anna, Barnaby; Metschurat, Christian Pagh, Kevin Bishop, Xavier de Guillebon.; Director of photography, Dominique Colin ; editor, Francine; Sandberg ; music, Loik Dury, Mathieu Dury ; costume designer,; Anne Schotte ; production designer, François Emmanuelli.; Originally released as a motion picture in 2002.; MPAA rating: R; for language and sexual content.; Xavier is a straight-laced French college senior who moves to; Barcelona as part of a student exchange program, much to the; dismay of his beautiful girlfriend. But sharing cramped; quarters with students from all over Europe quickly leads to; multi-cultural chaos as Xavier gets an eye-opening lesson on; how to live, love, laugh and party.","","1 videodisc (122 min.) : sd., col. ; 4 3/4 in.","Spanish apartment.","Levy, Bruno.; Klapisch, Cédric.; Duris, Romain, 1974-; Godrèche, Judith.; Tautou, Audrey, 1978-; De France, Cécile, 1976-; Reilly, Kelly.; Brondo, Cristina, 1977-; D'Anna, Federico, 1977-; Metschurat, Barnaby, 1974-; Pagh, Christian.; Bishop, Kevin, 1980-; de Guillebon, Xavier.; Colin, Dominique.; Sandberg, Francine.; Dury, Loik.; Schotte, Anne.; Emmanuelli, François.; B.A.C. Films.; Studio Canal+; France 2 Cinéma.; Mate Productions.; Castelao Productions.; Vía Digital (Firm); Twentieth Century Fox Home Entertainment, Inc."
"124","Enchanted April [DVD] / a BBC Films production in association; with Miramax Films and Greenpoint Films ; producer, Ann Scott ;; screenplay by Peter Barnes ; directed by Mike Newell.","","","0788895001.","Public Library","PubLib DVD (1st floor)  FEATURE FILM - E","Burbank, CA : Miramax Entertainment : Distributed by Buena Vista; Home Entertainment, [2009]","","Elizabeth, 1866-1941 -- Film and video adaptations.; Married women -- England -- London -- Drama.; Widows -- England -- London -- Drama.; Nobility -- England -- London -- Drama.; Women -- Conduct of life -- Drama.; Vacations -- Italy -- Drama.; Film adaptations.; Fiction films.; Feature films.; Feature films -- Great Britain. local.; Video recordings for the hearing impaired.; DVD video discs.","DVD; region 1; NTSC; widescreen (1.85:1, enhanced); Dolby Digital; 5.1 surround.; In English with optional English subtitles for the deaf and hard; of hearing; closed-captioned.; Miranda Richardson, Josie Lawrence, Polly Walker, Joan Plowright,; Alfred Molina, Michael Kitchen, Jim Broadbent.; Photography, Rex Maidment ; music, Richard Rodney Bennett ;; editor, Dick Allen.; Based on the novel by Elizabeth von Arnim.; Originally produced as a motion picture in 1992.; MPAA rating: PG; for some mild language.; London, the 1920s. Lottie and Rose are two married women who; share the misery of empty marriages and decide to rent an; Italian castle for the spring to get away. In order to save; money, they advertise for two other women to join them. Mrs.; Fisher is an elderly widow is struggling with a lonely and; regimented existence. She jumps at the chance to join the; vacation. Lady Caroline Dester is a gorgeous flapper who has; been grabbed one too many times and believes that she is sick; of men. They arrive in San Salvatore. The seaside Italian; castle is drenched in wisteria and sunshine. The women find; themselves in a transformative beauty so enchanting that they; experience changes in themselves they never thought possible.; Special features: Audio commentary with filmmakers.","Miramax award-winning collection.; Miramax award-winning collection.","1 videodisc (ca. 93 min.) : sd., col. ; 4 3/4 in.","","Scott, Ann.  Producer.; Barnes, Peter, 1931-2004.  Author of screenplay.; Newell, Mike, 1942-  Director.; Richardson, Miranda.  Actor.; Lawrence, Josie.  Actor.; Walker, Polly.  Actor.; Plowright, Joan.  Actor.; Molina, Alfred, 1953-  Actor.; Kitchen, Michael, 1948-  Actor.; Broadbent, Jim.  Actor.; Bennett, Richard Rodney.  Composer.; Elizabeth, 1866-1941. Enchanted April.; BBC Films.; Greenpoint Films.; Miramax Home Entertainment (Firm); Buena Vista Home Entertainment (Firm)"
"125","L'iceberg [DVD] : a film by Dominique Abel, Fiona Gordon & Bruno; Romy.","","","","Public Library","PubLib DVD (1st floor)  FOREIGN FILM - I","First Run Features, 2005.","","DVD video discs lcsh.","French with English subtitles.","","1 video disc (84 mins.) : sd., col. ; 4 3/4 in.","Iceberg [DVD]",""
